stud_id,w2sch_id,w2cls_id,w2td01,w2td02,w2td03,w2td04,w2td05,w2td06,w2td07,w2td08,w2td09,w2td10,w2td11,w2td12,w2td13,w2td14,w2td15,w2tcs1,w2tcs2,w2tcs3,w2tcs4,w2tcs5,w2tes1,w2tes2,w2tes3,w2tes4,w2tes5,w2tms1,w2tms2,w2tms3,w2tms4,w2tms5,w2sumerr,w2summis
00167,498,2217,2,3,2,2,2,2,1,2,2,1,1,2,4,3,4,1,2,1,3,1,1,1,2,1,1,1,2,4,2,2,0,0
00168,301,2103,4,4,5,2,4,4,3,4,4,4,3,3,4,3,3,2,2,4,4,2,2,2,4,4,4,3,2,4,4,4,0,0
00171,506,2870,3,3,3,2,3,3,4,4,4,3,2,3,4,3,3,2,2,4,4,3,2,2,4,3,2,2,2,4,4,1,0,0
00172,575,3087,3,6,2,2,2,3,2,6,3,3,3,4,4,4,3,1,2,4,4,3,2,3,4,3,2,2,2,4,3,3,0,0
00174,430,2732,2,2,3,2,2,3,2,3,2,2,2,4,4,3,3,1,1,4,4,2,2,2,4,4,3,2,2,4,3,2,0,0
00175,492,2477,3,3,4,4,4,4,3,4,3,3,3,3,4,3,3,2,3,3,4,3,3,3,3,4,4,2,3,3,4,3,0,0
00176,528,2452,3,3,3,3,3,4,3,6,3,3,3,4,4,2,2,2,2,4,3,3,2,2,4,3,3,2,2,4,3,2,0,0
00177,474,3528,4,6,3,3,2,2,2,2,2,3,3,1,4,3,3,2,3,4,4,1,1,2,3,3,1,2,3,3,4,2,0,0
00178,449,3398,2,1,2,1,1,1,1,2,1,2,2,4,4,5,4,2,1,4,1,2,2,2,4,3,2,2,2,4,3,2,0,0
00179,536,3402,2,1,3,2,2,1,2,2,1,1,1,4,4,2,2,1,1,4,3,2,3,3,3,4,3,2,3,3,3,4,0,0
00181,610,2745,2,4,4,2,2,3,2,3,1,1,2,3,4,3,2,2,4,2,2,4,3,2,4,3,3,3,3,3,4,2,0,0
00182,337,2725,3,4,3,4,4,4,3,4,4,3,4,3,3,3,3,2,1,4,3,3,3,2,2,4,3,3,2,4,3,3,0,0
00183,632,2890,3,6,3,3,3,3,3,3,3,2,3,4,4,4,4,4,4,4,4,4,1,2,3,3,2,1,1,4,3,1,0,0
00184,627,2109,4,6,3,3,6,4,6,3,6,3,2,5,4,2,5,2,3,3,4,2,2,3,3,3,3,2,3,3,3,2,0,0
00185,319,2799,4,3,3,3,2,4,4,2,2,4,2,2,4,2,3,2,2,4,4,2,2,1,4,1,2,2,1,4,2,2,0,0
00186,581,3865,3,3,3,3,3,3,3,3,3,3,2,3,4,3,2,2,2,3,3,3,99,99,99,99,99,4,3,4,4,4,0,5
00187,440,2250,2,6,1,1,1,3,1,2,2,1,1,4,4,4,3,2,1,3,3,1,2,1,4,1,1,2,1,4,1,1,0,0
00188,526,2343,3,3,3,3,2,3,3,3,3,3,2,4,4,3,4,3,3,4,3,4,3,5,3,4,3,3,3,4,4,4,0,0
00189,515,3419,3,1,3,3,2,3,1,2,2,3,3,4,4,3,3,2,2,4,3,2,2,2,4,4,2,99,99,99,99,99,0,5
00190,571,3921,2,3,3,3,2,2,2,3,3,2,1,4,4,4,4,2,3,4,3,2,3,3,3,3,3,2,2,4,3,2,0,0
00192,323,2622,3,4,4,4,3,4,4,4,3,5,3,1,4,2,3,2,3,3,4,3,2,2,4,4,3,4,4,1,4,4,0,0
00193,621,3216,2,2,2,2,2,2,2,2,2,2,2,3,4,2,3,2,2,3,3,2,3,3,4,4,4,2,2,4,3,3,0,0
00194,558,3607,2,3,4,4,2,4,3,4,3,4,2,4,4,4,4,2,3,4,4,4,4,2,4,4,4,3,3,4,4,4,0,0
