stud_id,w2sch_id,w2chin_id,w2ctch_id,w1w2chg,w2pgrm,w2clspgm,w2far,w2priv,w2urban3,w2stwt1,w2stwt2,w2nright,w2all3p,w2all3ps,w2cfree,w2cf3p,w2cf3ps,w2math,w2m3p,w2m3ps,w1w2plus,w1w2minus,w2link,w2illp,w2ctc01,w2ctc02,w2ctc03,w2ctc04,w2ctc05,w2ctc06,w2ctc07,w2ctc08,w2ctc09,w2ctc10,w2ctc11,w2ctc12,w2ctc13,w2ctc14,w2ctc15,w2ctc16,w2ctc17,w2ctc18,w2ctc19,w2ctc20,w2ctc21a,w2ctc22a,hw_average,w2ctc23,w2ctc24,w2ctc25,w2ctc26,w2ctc27,w2ctc28,w2ctc29,w2ctc31,w2ctc32,w2ctc33,w2ctc34,w2ctc35,w2ctc36,w2ctc37,w2ctc38,w2ctc39,w2ctc40,w2ctc41,w2ctc42,w2ctc43,w2summis,w2sumerr
5964,85,2846,17,0,1,1,0,1,2,1.090291023,1.287867785,44,2.118128777,0.269605994,8,-0.281861067,0.594210029,23,2.192099333,0.378224999,4,6,11,0.000631173,1,5,1,1,2,3,4,1,1,2,1,2,3,3,3,4,2,2,3,3,1,1,,2,1,2,2,2,5,2,2,2,2,4,2,2,1,2,3,1,1,1,2,0,0
5965,33,2442,4,0,1,1,0,0,3,0.38714233,0.457587034,49,2.106430054,0.245242998,22,3.989193201,0.492372006,22,2.158012629,0.370343,7,1,18,1.76E-25,1,2,1,5,2,2,2,1,1,3,1,1,3,3,3,3,3,1,3,3,2,1,,3,6,1,2,2,3,3,3,1,2,3,3,3,1,2,2,2,2,3,3,0,0
5966,398,4154,6,0,1,1,0,0,2,0.215735897,0.254991353,19,-0.706812799,0.478659987,6,-1.263984799,0.629682004,10,-0.277681202,0.461973995,3,1,5,1.20E-11,1,5,1,3,1,4,4,3,1,2,1,2,3,3,3,3,2,2,3,3,3,1,,1,6,1,2,3,97,97,3,1,1,2,1,2,1,2,1,1,2,4,1,0,2
5967,304,2537,10,0,1,1,0,0,3,0.924223602,1.092396021,42,1.700893998,0.251926005,15,1.901289463,0.479063004,18,1.208034992,0.307855994,9,2,13,3.17E-35,1,2,1,4,2,2,3,3,2,2,1,2,2,2,3,3,3,2,3,3,4,1,,2,5,2,2,2,2,4,4,1,4,1,3,4,1,2,2,2,2,3,4,0,0
5968,142,2254,5,0,1,1,0,0,3,0.429184914,0.507279694,42,1.750158787,0.247797996,18,3.005925417,0.62963599,19,1.494663715,0.322878003,9,1,14,1.13E-37,1,6,1,1,1,2,2,3,1,2,1,1,3,4,4,4,2,1,3,3,2,1,,2,5,1,2,3,2,4,4,2,2,4,2,4,1,2,3,1,1,2,4,0,0
5969,388,4104,5,0,1,1,0,0,3,0.630152524,0.744815528,27,0.530612528,0.312541008,11,0.906660318,0.534768999,15,0.719506502,0.389185011,9,2,11,5.03E-32,1,5,1,1,1,2,5,5,1,2,1,2,1,2,2,2,1,2,2,2,3,1,,2,5,2,2,1,3,2,2,1,1,1,2,3,1,1,1,2,2,2,1,0,0
5970,608,3935,10,0,1,1,0,0,2,1.084789991,1.282179236,28,0.531233668,0.385529011,10,0.629562199,0.604330003,16,1.126155734,0.347075999,7,3,9,4.77E-18,1,3,1,5,2,2,4,3,1,3,1,1,2,3,97,97,3,1,3,2,3,1,,1,1,1,2,3,4,4,2,1,1,2,3,4,2,1,1,1,2,3,4,0,2
5971,518,3824,4,0,1,1,0,0,2,5.532701015,6.539434433,20,-0.638402462,0.417549998,8,-0.538489759,0.603812993,5,-1.461110711,0.602795005,5,4,8,5.26E-08,1,4,1,5,1,3,2,1,1,2,1,1,3,3,3,4,1,2,3,3,2,1,,2,5,1,2,3,4,3,3,1,2,3,2,4,1,2,2,2,2,3,2,0,0
5972,356,2952,14,0,1,1,0,0,3,0.807787418,0.954773009,50,2.55428648,0.285293996,19,3.457212448,0.446209997,25,2.883508921,0.467765987,7,2,14,1.69E-26,1,5,1,5,2,3,3,2,1,1,1,2,2,2,4,4,2,1,3,3,5,1,,1,5,2,3,3,3,3,4,1,2,3,3,4,1,2,2,2,2,3,2,0,0
5973,305,2174,4,0,1,1,0,0,3,0.707279265,0.835976303,26,0.376858145,0.326411009,10,0.097416006,0.624764979,15,0.456989825,0.400207013,6,3,9,3.36E-16,1,2,1,2,3,2,4,3,1,2,1,2,2,2,2,3,3,2,2,3,4,1,,1,6,3,2,2,3,3,3,1,1,4,2,4,1,2,2,1,1,3,2,0,0
